"","X","Y","Z"
"38443",1.0567903,3.065127,1.9076484
"18473",0.88777827,2.5760768,0.932257
"46727",1.4222754,1.65136048,2.7087586
"12477",1.3182014,1.2853892,0.754339999999999
"29114",0.8452674,0.210160999999999,2.2630317
"33184",0.4439825,1.9822226,2.7499757
"24484",1.6797028,2.436692,1.7013387
"43370",1.04030429,2.920684,1.6783188
"7780",1.04090284,2.867425,3.1690678
"37227",0.89575819,2.752448,2.49962999
"6058",0.4674256,1.9249803,4.053403
"45459",1.4276438,1.2290964,2.868662
"5401",0.97845483,2.953569,3.596582
"8057",0.88863935,3.167673,3.1581038
"44006",0.94391106,2.936456,2.2801764
"1047",0.7953958,2.6554785,3.2284209
"38974",1.1107548,2.748815,2.7120447
"20007",0.93201719,2.0151742,0.492391
"1169",1.2091859,2.6230625,3.3216681
"6839",0.8213103,2.985713,3.3913862
"14842",0.6495707,0.0937640000000002,0.272893
"1306",1.8671595,2.4175811,4.853386
"15964",0.6913474,0.8957634,0.500021
"43276",1.01780765,2.865235,1.173246
"45920",1.2930534,0.509531,2.9301468
"8263",0.7128794,3.022581,3.2273605
"27693",0.4641712,2.736249,1.9859302
"6578",0.98315083,2.6435755,3.3534644
"10688",1.4700152,0.083666,0.817399999999999
"11440",1.2119046,0.0303709999999997,0.974527999999999
"45119",1.2234703,0.203658,3.0243791
"31055",0.5796662,2.0356069,2.8439559
"38719",0.98756929,3.021569,2.3157713
"37325",0.7982121,3.01047,1.8965472
"43650",0.91666441,2.910375,1.233902
"29930",0.7005907,0.0618259999999999,2.45841904
"44321",0.9492722,2.878933,2.8934145
"15450",0.5403877,0.297774,0.151691
"47673",1.4224718,1.1034031,2.6413582
"23519",0.99056727,1.8984578,2.6801166
"17823",1.2433614,2.1359414,0.770261999999999
"3852",0.98608522,2.3213086,3.826358
"13060",1.2684014,0.258462,0.748027
"27992",0.6718371,3.010382,1.9441861
"36098",1.1479048,3.036695,1.6197988
"31393",0.5593319,2.5798639,2.7968018
"20676",0.3837517,2.1388953,0.806332000000001
"5736",0.0427925,2.0822754,4.573789
"14935",0.5459656,0.9341445,0.343175
"7742",1.05542489,3.0564,3.1740734
"21093",0.98598173,1.5984814,2.2719252
"1233",0.951204701,2.5083505,3.4680258
"20663",0.8281052,2.0764057,0.325424
"25204",0.87463066,1.75079667,2.44808969
"7449",1.0744318,2.792752,3.240314
"30942",0.7398301,1.2359708,2.4328125
"13079",1.2478702,1.0042766,0.761725
"11268",0.6748211,1.519134,2.504086
"32391",0.3961252,2.6763718,2.3544543
"6353",0.7717128,2.940684,3.637319
"235",1.2304304,2.4755799,3.3589667
"33",0.7938818,2.670386,3.2841604
"45830",1.2090062,0.365841,3.0585281
"13890",0.6906569,1.2765318,0.52467
"10052",0.97609042,2.3390065,0.332736000000001
"10504",1.5223263,0.0606140000000002,0.849270000000001
"47450",1.4663896,2.827921,2.61551566
"5284",0.8371886,2.2160727,3.764951
"24058",1.563296,2.031164,1.9757517
"15929",0.6149764,1.2625537,0.609995999999999
"38014",1.01283764,2.912745,1.7755857
"28061",0.5358092,2.906561,1.8394714
"28274",0.5007105,2.899103,1.6397903
"39675",0.98255295,2.870726,2.719963
"40280",1.1254981,2.796393,2.44435707
"11428",1.4165178,0.331075999999999,0.758383
"41695",0.98999452,3.190888,2.0250669
"6417",0.98020003,2.5876023,3.4002521
"45458",1.4116714,2.2539164,2.8763938
"30529",0.6005907,0.485243,2.3085756
"22661",1.6753469,2.5503671,1.6021405
"21873",0.6240939,2.846041,2.2147712
"46343",1.3216675,1.1004642,2.8689678
"1696",0.4959351,2.775904,5.074047
"30362",0.5769319,0.0850999999999997,2.4692206
"36735",0.8454012,2.6452962,2.63021298
"5495",1.1098555,2.534178,3.414025
"2585",1.3894633,2.0432389,4.085725
"11672",1.5093552,1.9119115,0.637643000000001
"34371",1.04392816,2.769115,2.9802892
"41140",1.04109169,2.903622,2.265086
"40848",0.86576998,2.782211,2.62375888
"12646",1.3078487,0.265587,0.773249
"35078",1.1689795,2.6357222,2.6558306
"39068",0.9330659,2.7169324,2.8835717
"24105",1.2037335,1.718841145,2.3513448
"34484",0.90705174,2.96414,3.0340364
"2139",1.7419657,2.0750616,4.436398
"30310",0.7145857,0.446812,2.3577271
"19969",0.7481277,2.2920165,0.71279
"34707",0.91141817,2.944089,3.0908679
"24496",1.495541,2.835998,1.9137598
"38738",1.0809412,2.6675667,2.8096777
"44948",1.5526996,2.2004545,2.7821916
"11236",1.4193986,0.345461,0.769955
"28018",0.5416228,2.891798,1.9261628
"36987",0.89309654,2.882,1.21812
"48731",1.4682251,2.6304309,2.48045119
"43645",0.97282783,2.961152,2.56573637
"28733",0.3529029,2.5585892,1.396335
"17452",1.3641109,2.6561567,0.937668
"34374",1.00601975,3.012353,3.0655611
"5029",1.1493254,2.737093,3.4507394
"29108",0.7880404,0.281005,2.2809848
"36257",1.1152493,2.872136,1.198687
"2144",1.7895127,1.9905098,4.343107
"5482",1.2649977,2.852047,3.2814598
"39315",1.0643111,2.860043,2.4300876
"164",1.1487392,2.4271373,3.4935531
"43150",0.92667691,2.892086,1.350657
"114",1.1973688,2.3814861,3.3104833
"8651",0.0736190999999997,2.0669046,4.684248
"5041",1.1406367,2.5365505,3.4751072
"14326",0.6679265,1.0980576,0.382
"7302",1.2230895,3.017189,3.1384187
"41061",1.0687747,3.031044,1.5441035
"13860",0.600689,1.1716013,0.616999
"24247",0.93888707,1.6629161,2.49425543
"17057",0.91561998,2.740538,1.028683
"21280",1.5121983,2.884245,1.7425676
"8616",0.1373354,2.3991388,4.943876
"48081",1.2971581,1.4474153,2.7283527
"18040",1.081699,2.762709,0.864093
"41067",1.02901859,3.25888,2.3112125
"35518",1.0698982,2.831916,2.3079692
"27240",0.6103321,2.787912,2.2006014
"36307",1.1814938,2.84535,2.3258915
"23648",1.6149616,2.735191,1.7068833
"19184",0.644607,2.6736585,1.023766
"32980",0.5935214,1.941932,2.59054117
"13724",0.6477672,2.172586,0.666271999999999
"41353",1.00771252,3.274037,2.1803856
"3097",0.1733048,2.5774551,4.913828
"26319",0.6655061,1.8461678,2.305767
"20140",0.7423243,2.2671251,0.680287
"42086",0.91992954,2.909427,1.297238
"24811",1.508972,2.785837,1.309126
"22624",1.4920282,2.1638484,2.260188
"1736",1.05379217,2.748049,3.3296553
"39682",1.0810853,3.050347,1.8853693
"19164",1.00663514,2.4789717,0.637138
"5612",1.2076698,2.84191,3.2812714
"4595",1.1715654,2.981263,3.4886044
"30248",0.6858636,0.204511,2.3760249
"12780",1.2656223,0.404351,0.797369
"37153",0.8574963,2.991194,2.1020506
"38524",1.04426925,2.982305,2.9045187
"13213",1.329418,1.1061883,0.642299
"42535",1.03545677,3.014639,1.463796
"12492",1.4636412,2.0908895,0.596401
"38311",1.1090795,2.7285,2.8756444
"2250",1.4512538,2.0607897,4.087386
"22316",1.3192486,1.8839892,2.46360916
"37569",0.8138686,3.007969,1.469867
"4491",1.1389994,3.139453,3.549679
"44527",1.0870071,2.829139,2.51428881
"24360",1.1242626,1.725782186,2.3703714
"21989",1.3708328,2.0499145,2.44188067
"2569",0.6074484,2.767489,5.000981
"14486",0.6916375,0.7733232,0.322406000000001
"32561",0.6699043,2.6661727,2.683295
"44005",0.89131533,2.827306,2.48169862
"22841",1.0869268,1.75574027,2.58286323
"20686",0.3896782,2.1531405,0.800734
"12110",1.2978205,0.8357095,0.806141
"26403",0.5091413,2.2678363,2.3245368
"29099",0.7744288,0.306924,2.2740541
"28262",0.4371746,2.820305,1.7342677
"24721",1.6241917,2.6101875,1.305078
"9973",0.92355319,2.2025313,0.343721
"37538",0.88448389,2.984491,1.446232
"21349",1.3705288,2.2434454,2.50923603
"14152",0.7087487,1.005878,0.380511
"12546",1.2560307,0.13755,0.840506
"20519",0.45702,2.2830323,0.822582000000001
"43697",1.02826297,2.895846,1.8687027
"31293",0.6941949,2.760116,2.52154827
"19662",0.99876492,1.8428954,0.524671999999999
"40341",0.87765218,2.800651,2.4363711
"16452",0.5956016,0.349021,0.23659
"38023",0.958693942,2.807936,2.2274233
"33671",0.6398761,1.2981676,2.45847585
"26759",0.5628302,2.858558,1.309045
"30115",0.7810327,0.448434,2.3058666
"30479",0.628422,0.221361,2.3460715
"12172",1.3847571,0.7774952,0.722179000000001
"36002",1.05814649,2.957921,1.8471182
"23278",1.4767149,2.6698655,2.2085468
"46799",1.4189147,1.4991914,2.7217586
"1018",0.7996792,2.79593,3.2508713
"10671",1.317777,0.0942270000000001,0.982543
"27001",0.6272101,2.6339134,2.3368091
"4284",0.954842773,2.6992077,3.781347
"12512",1.3692084,1.0707734,0.699216
"48378",1.1396995,0.355691,2.8911183
"42187",0.9826729,3.08266,1.7474204
"34772",1.0833561,2.869643,1.19185
"37406",0.7840716,3.0245,1.7966676
"712",0.8295084,2.5318945,3.3867713
"6043",0.1522717,1.9306894,4.403717
"27515",0.6817901,2.905719,2.1308871
"9338",0.98159204,1.3815794,0.141785
"12045",1.4266514,0.701662,0.690479
"49447",1.2079743,0.0348249999999997,3.2270328
"12941",1.2915707,1.2084809,0.760339
"14900",0.5697753,0.901061,0.31842
"45869",1.3647655,1.2320509,2.8562017
"24677",1.6118498,2.734479,1.389175
"43510",0.91855864,2.991041,1.6363602
"8185",0.8131343,2.929886,3.1530812
"47033",1.2053166,0.661028,2.9467249
"17189",1.6086505,2.2419943,0.92563
"8141",0.8280551,2.990843,3.1483013
"30078",0.75645,0.350754,2.317082
"38824",1.1462968,2.728582,2.7233796
"38356",1.04487872,3.008496,2.8940083
"46855",1.445251,2.6647923,2.6944295
"7037",1.2792146,3.340511,3.3373735
"30528",0.6278978,0.443493999999999,2.2899295
"27896",0.4076141,2.0452853,2.0338513
"44467",1.04565124,2.882855,2.353332
"36603",0.7747783,2.6947305,2.6202827
"32020",0.89373221,3.077043,2.59433114
"49049",1.2646431,2.906174,2.6580976
"32344",0.6228379,2.740312,2.7946237
"822",1.2669474,2.5983619,3.2530015
"22475",1.3413307,2.488917,2.4201818
"13834",0.6165562,1.81936464,0.584064999999999
"25263",0.8248501,1.74510029,2.3491544
"30605",0.5848381,0.359029,2.2469481
"46086",1.3773718,1.300731,2.8179193
"32259",0.6783654,1.3660105,2.59584114
"21892",0.5840986,2.2921009,2.4189185
"27544",0.4378814,2.3701908,2.0498653
"11447",1.375185,0.67464,0.807141
"38111",1.0874964,3.022995,2.1412859
"49107",1.3063483,2.730877,2.56519757
"25903",0.8523325,2.3653809,2.6970022
"5937",1.3292596,2.882422,3.2366585
"32103",0.4715179,1.77661143,2.6805421
"9627",0.99270403,1.8929739,0.12631
"32814",0.4633984,1.8524848,2.748121
"20903",1.6662958,2.4026568,1.7859293
"31069",0.7547496,1.2412745,2.50432352
"19103",0.7613549,2.64705,0.907969999999999
"14138",0.7201682,0.8956131,0.374501
"21925",0.6592727,2.4862787,2.4393082
"47081",1.1625585,0.205386,2.9886194
"10623",1.4138845,0.0433979999999998,0.903939000000001
"21259",1.6974119,2.5738332,1.508695
"19260",0.90337838,2.586664,0.746295
"16013",0.5384947,1.68044782,0.60783
"26034",0.8047166,2.0353424,2.6834801
"2690",0.6475454,2.774488,2.58103475
"20202",0.6002596,2.1748827,0.80803
"38173",1.0735256,2.778843,2.9805644
"15089",0.6787455,0.361053,0.130563
"34042",0.87498658,3.018771,2.59565512
"47440",1.2265012,0.8590482,2.8712966
"23446",1.2382711,1.77233103,2.4254971
"42848",0.9249363,2.885022,1.459743
"47497",1.2053683,0.696222,2.8999116
"24245",1.517859,2.6941682,1.9854368
"38180",0.9737235,2.993608,2.3920954
"35190",1.1013924,2.6646183,2.7269647
"34333",1.0883443,2.865188,2.9713053
"23859",1.6147362,2.777849,1.7175598
"2680",0.4314282,2.7069266,5.010701
"16703",1.05064403,2.7137064,1.055758
"35915",1.2053284,3.018771,1.7962043
"22541",1.3068378,1.8536988,2.46750336
"48371",1.4003464,2.837438,2.59386763
"11457",1.3957446,0.450415,0.777642999999999
"32971",0.3696005,2.730864,2.4354432
"12686",1.3701404,0.9928037,0.688782
"32236",0.5213646,1.2701148,2.56700484
"4771",0.99757529,2.4824215,3.676493
"48685",1.3908521,2.4014309,2.58136041
"46395",1.04950654,0.0341050000000003,3.1726551
"32668",0.5961369,1.1142698,2.3424349
"45712",1.3414072,0.598865,2.9203278
"35045",1.1847834,2.6745687,2.6853752
"48194",1.0708065,0.0926429999999998,2.9781406
"35367",1.1098031,2.894786,2.2541202
"35282",1.2381378,2.6464381,2.52769376
"13820",0.6675056,0.215057,0.197084
"27704",0.6541572,2.946979,2.0636734
"36550",0.820782,2.73118,2.52737911
"28989",0.8107642,0.665176,2.3882987
"16405",0.5150318,0.390340999999999,0.208666000000001
"26804",0.38711,2.6628781,1.369182
"78",0.9234534,2.3706467,3.5149551
"49066",1.2914569,2.843011,2.59912823
"48388",1.5858651,2.7080041,2.383009
"47017",1.2558726,0.622038,2.8930199
"38919",1.0810633,2.783542,2.7459104
"37920",1.03306343,3.020258,2.0159603
"35222",1.3504117,2.992885,1.9546395
"28051",0.6864061,3.009788,1.7601599
"12936",1.3373408,1.77247698,0.68013
"32362",0.7083583,2.784749,2.62366284
"4699",0.0400569000000002,2.3079906,4.732628
"23128",1.5069544,2.2784021,2.2008278
"45396",1.4658563,1.74713212,2.8220259
"46979",1.4464425,2.739593,2.6779648
"10552",1.503107,0.0723579999999995,0.840645
"15648",0.6739751,1.236122,0.569213999999999
"38299",1.1127928,2.6995771,2.8749631
"44552",0.88055162,2.7151396,2.6682637
"40685",1.0661477,2.742914,2.8660836
"3086",1.012773,3.416516,3.3005613
"18921",0.8559963,2.749917,0.848455
"6977",1.1722326,2.899829,3.2159936
"9992",0.99393373,2.1921326,0.286133
"14088",0.6999474,1.1659133,0.425271
"14249",0.5281635,1.9022293,0.564700999999999
"36451",0.7753381,2.6645284,2.47132087
"13148",1.2788627,1.2119379,0.707198999999999
"1504",0.6983331,3.257054,3.3622649
"17371",1.4950157,2.570961,0.838080999999999
"39317",1.05610996,2.866117,2.428709
"22066",1.3706253,2.0103914,2.4292725
"42095",0.92832981,3.009363,1.7085563
"45055",1.4956931,2.1079866,2.8388443
"15432",0.500934,0.125821999999999,0.211088999999999
"41148",0.99844698,3.039512,2.3080879
"21260",1.00979756,1.6000467,2.2745118
"17867",1.2019541,2.2364607,0.786681999999999
"20782",1.2985244,2.859843,1.207052
"48197",1.688417,2.5176134,2.2821601
"44679",1.3451028,0.118231,3.1133485
"20795",1.444485,2.6970298,1.143489
"45393",1.2430218,0.3251,3.0705743
"40704",0.98342929,2.924022,2.48590667
"30317",0.6603289,0.262146,2.4050982
"18347",1.212992,2.1071599,0.602788
"11482",1.3533212,0.9994107,0.829689999999999
"30781",0.6206362,1.9015347,2.63520599
"23029",1.5297374,2.2261033,2.1683378
"37140",0.8050793,2.981615,2.1775052
"35412",1.270221,2.7002676,2.4367906
"2870",1.274193,2.0873619,3.825423
"9597",1.02286689,2.3123545,0.341060000000001
"37584",0.8056921,2.993798,1.475702
"26530",0.677842,1.8846988,2.46075036
"37706",0.8223373,2.90322,1.217817
"3300",0.966323232,3.001978,3.5176788
"7369",1.207674,3.195284,3.1378515
"21708",1.119715,2.4131842,2.7271657
"26649",0.4291611,2.0391716,1.9646841
"8619",0.1773806,2.5519366,5.037373
"10526",1.4819077,0.027266,0.871922999999999
"1908",1.559582,2.6568965,4.959869
"49443",1.1271332,0.29668,2.9222683
"39226",0.99075944,2.967008,2.7996195
"21789",1.1206835,2.2379463,2.7286735
"21961",0.6796414,1.9104699,2.4336571
"14402",0.6380766,1.0345436,0.389154
"27524",0.4983922,2.6958813,2.0739171
"36400",0.6223189,2.5370572,2.51113751
"21001",1.5178257,2.1264999,2.1969734
"3742",0.964654838,2.2794833,3.870102
"20442",0.447123,2.4712068,0.863689000000001
"10775",1.4406949,0.263552,0.834508
"45767",1.4976975,2.0860163,2.7319898
"44473",1.01296488,2.823123,2.3236022
"47944",1.0923183,0.566799,2.9614214
"41369",1.02923408,2.865839,2.1315019
"32746",0.6873278,1.2308158,2.56432783
"6828",0.8083513,3.174272,3.4221254
"44850",1.3896868,0.0553169999999996,2.9703007
"11057",1.4083717,0.102746,0.804514000000001
"31830",0.8233179,2.952423,2.7493848
"42716",0.90964512,2.997116,1.46979
"23399",1.3974976,2.721929,2.2713154
"39877",0.99634622,2.925023,2.6609555
"3860",0.98940373,2.2400293,3.812124
"44961",1.2612801,0.196557,3.0570813
"25913",0.89080281,1.80977706,2.55739925
"37396",0.91424844,2.963659,1.6703946
"30960",0.7723112,2.908722,2.544044445
"20213",0.958733303,2.0110717,0.394073000000001
"11464",1.4221427,0.152164,0.744444999999999
"46765",1.4220865,1.1280668,2.7297728
"13658",0.7732729,2.1407879,0.598777999999999
"22292",1.2189044,1.8648915,2.57984343
"42296",1.0642553,3.032258,1.5852462
"45391",1.4341365,1.9023898,2.8601959
"9776",0.95824544,2.0203944,0.217603
"21729",0.98299791,1.79540962,2.7272587
"17819",1.0970853,2.6389669,0.956126000000001
"45097",1.2723859,0.271542,2.9565251
"43393",0.952371318,2.890373,1.151794
"48260",1.3382732,2.2016802,2.6730507
"28308",0.6462757,2.957507,1.441541
"13610",0.6424089,2.1105634,0.749758
"3262",1.2435902,2.937908,3.675001
"14243",0.6151196,1.033575,0.466044
"48586",1.551142,2.4718321,2.4291774
"21752",0.8454152,2.4714508,2.7131104
"19966",0.97270254,1.8597115,0.470078000000001
"23075",0.94959602,1.9553782,2.8245445
"13897",0.6825988,1.2952859,0.514485000000001
"11546",1.3341103,0.506159999999999,0.840468999999999
"7871",0.93423577,2.833017,3.2391836
"40509",1.0782867,2.766608,2.55139593
"17783",1.2487197,2.3422517,0.784504999999999
"39546",1.0965362,2.803362,2.6148046
"28282",0.5864787,2.971674,1.547063
"1737",1.04766292,2.767017,3.3143332
"23817",1.5871946,2.3435089,2.0024284
"44745",1.3876371,0.0733560000000004,3.0155894
"39787",1.0888317,2.6988381,2.59143948
"1582",0.87705334,2.2996301,3.924362
"23702",1.3517595,2.732177,2.2686033
"36367",0.7785538,2.7115464,2.47966801
"37393",0.90157013,2.971078,1.696744
"4165",1.4145999,3.159048,3.3001132
"48857",1.3869546,2.746924,2.46456543
"32856",0.5072195,1.75606238,2.7275944
"46597",1.3596502,1.3069635,2.8034131
"11176",1.3251319,0.243465,0.883096
"23755",1.6058246,2.1929338,1.9914766
"23592",1.371404,2.6980858,2.2649906
"20222",0.7161884,2.2237012,0.640480999999999
"25356",0.555683,1.9689939,2.3673956
"47380",1.2501276,0.8012347,2.8672095
"30612",0.4629573,0.0342849999999997,2.3506552
"10",1.1509657,2.3354277,3.4042363
"41674",1.0841229,3.034532,1.9627744
"28756",0.5069879,2.7079216,1.189715
"22365",1.690421,2.4615309,1.5770357
"31925",0.8776973,3.012073,2.63885129
"27315",0.5283829,2.4868115,2.2545359
"8111",0.8187878,3.246992,3.1856356
"22361",1.1492995,1.9133631,2.6917112
"46167",1.2049304,0.578671,3.0130452
"15655",0.5594873,1.9609885,0.696444
"25654",1.01139193,1.9389347,2.8701947
"4346",1.0643129,2.5341206,3.655402
"45610",1.444743,2.2793802,2.8258738
"44359",0.92084844,2.786429,2.7798612
"12689",1.2869744,0.513291,0.782287
"33268",0.57437,2.2212899,2.57655759
"26736",0.650583,1.8490732,2.4367023
"25220",0.7132984,1.78858434,2.4018696
"40021",0.98684672,3.092798,2.63333975
"33605",0.6435306,1.2827837,2.4096467
"17066",0.97579858,2.816985,0.930239
"24719",1.3957057,2.974149,1.5608924
"26154",0.5432013,1.9660628,2.2860566
"48159",1.3987896,2.096846,2.6137299
"32110",0.6649807,1.1287994,2.48133566
"14629",0.5201256,1.1299744,0.476918
"42670",0.90254084,3.005196,1.9092676
"19217",0.87950833,2.5052999,0.764925
"24640",1.3289775,3.005248,1.745709
"14145",0.5968819,1.47432,0.504754
"47096",1.239811,0.8305338,2.9048574
"3181",1.2046724,2.5869509,3.770096
"6780",0.90025935,2.848117,3.3601572
"24017",1.6307361,2.1735228,1.9173929
"31633",0.6143265,2.1607944,2.7928734
"10761",1.3672916,2.1563819,0.645059
"34140",1.0784411,2.847168,3.1060722
"37384",0.7991811,3.02721,1.8060063
"25062",1.2634855,2.79694,1.114102
"34422",1.03845686,3.014463,2.9320862
"11589",1.4148934,0.493385,0.748521
"24052",1.316163,1.77218714,2.2416199
"6693",0.86978025,2.951967,3.4470861
"44919",1.2949943,0.593718,3.0731285
"39548",0.97299043,2.6481176,2.717758
"27011",0.6201418,2.750849,2.3368602
"22353",1.4539347,1.8602512,2.1467828
"9745",1.01260832,1.76352248,0.120571999999999
"40861",0.90519029,2.835237,2.51699345
"26311",0.6488464,1.8914877,2.45267339
"13354",1.304701,2.1474375,0.604960999999999
"25018",1.2315522,2.907666,1.288908
"10664",1.4510251,0.132423,0.836211
"16043",0.4902383,1.9033721,0.620484000000001
"35852",1.0694071,2.955455,2.0364063
"25904",0.86594707,2.2927745,2.7160555
"6342",0.89741074,3.052311,3.5158637
"24047",1.2640431,1.74136069,2.3142366
"43601",0.88933282,3.011407,1.539416
"31001",0.6266606,2.0645405,2.6540344
"5322",0.8251755,2.778614,3.609228
"33095",0.6227518,1.1611018,2.56089686
"39305",0.97588707,3.070518,2.3986541
"47512",1.1106957,0.375019,2.9969442
"30505",0.6704983,0.113365,2.3672067
"38427",1.05470443,2.94936,2.9088394
"2445",1.581599,1.9217063,4.094582
"20661",0.4000396,2.1734847,0.800425000000001
"31550",0.761519,3.009334,2.60374691
"11458",1.394533,0.478782,0.779441
"12601",1.3981434,0.666254,0.672495
"3764",1.2195425,2.6944415,3.589583
"19171",1.1053778,2.052924,0.524512
"45758",1.357355,0.718182,2.8904322
"9567",1.0803635,2.20227,0.34948
"42739",1.05665274,2.968473,1.351988
"35619",1.0823145,2.871722,2.3171719
"21050",1.063262,2.0043593,2.813542
"12026",1.385458,0.247371,0.724943
"43285",0.98936782,2.922559,1.203977
"9726",0.97472158,1.80199185,0.178720999999999
"14602",0.5951163,0.7732231,0.398894
"18646",1.01850998,2.1409699,0.727073000000001
"35319",0.94193836,2.791348,2.3254344
"9615",1.03577262,1.9224893,0.187901999999999
"30615",0.486647,0.0741999999999994,2.3148106
"44861",1.3584358,0.261649999999999,3.0015341
"31664",0.5687443,2.4584839,2.8607855
"46500",1.1341099,0.141806,3.0783358
"37106",0.91919694,2.915558,2.1649894
"16857",0.91665138,2.816816,1.117058
"38563",1.0701791,2.892958,2.8774025
"21037",1.02451904,2.2189005,2.8221236
"4573",0.6934095,1.9937827,4.042007
"4635",1.3187443,2.942114,3.3341648
"36981",0.88301984,2.905723,1.258265
"20940",1.6034071,2.5383695,1.9014431
"38178",0.92423105,2.844511,2.3563233
"1117",0.97453718,1.66391578,0.128024
"5032",0.92758685,2.969243,3.697564
"20557",0.3271553,2.0789029,0.950669
"34746",0.91895642,2.861856,2.9526144
"38347",1.01558134,2.751066,2.9639881
"31551",0.668296,2.842669,2.7431636
"15430",0.5240682,0.181566,0.179787000000001
"48666",1.3638398,2.3808463,2.60717853
"36771",0.7792952,2.956673,1.315606
"25223",0.6751088,1.80673096,2.386511
"42712",0.94785922,3.018552,1.488953
"19842",1.1166483,2.0782507,0.354562
"47401",1.3829351,1.3181001,2.7152149
"29345",0.7220639,0.548143,2.3708835
"44140",0.91092947,3.055121,1.9839251
"48063",1.1005344,0.118005999999999,2.9644952
"43011",1.02561858,2.912923,1.291478
"36864",0.8376302,2.88337,2.3338263
"37285",0.7757268,3.025307,2.0045918
"16419",0.4951848,0.0330890000000004,0.244717
"36286",1.1295032,2.755127,2.49380107
"49272",1.2580319,2.908504,2.50418425
"26488",0.5864184,2.1920148,2.48965862
"16478",0.6585887,0.232741,0.180111
"448",1.0708352,2.3490437,3.4348636
"22602",1.4609976,1.8734995,2.2579237
"16739",0.91265942,2.805255,1.187647
"33931",0.4828971,2.7139968,2.45915631
"34824",1.0830116,2.89265,2.2832508
"42227",0.89518615,3.06277,1.6999309
"46838",1.3254874,1.213945,2.6840937
"36840",0.7676837,2.780232,2.3919293
"45373",1.3469107,0.431545,2.95816
"8369",0.90284009,2.903698,3.1529033
"32333",0.7181759,2.923941,2.51048256
"31499",0.6450008,2.6577272,2.7110474
"38408",1.02884543,2.94,2.9071723
"14438",0.6501037,1.035109,0.379318
"39591",0.957971126,2.87253,2.7743338
"27316",0.5298844,2.2094316,2.2552741
"8906",1.6902346,2.471548,4.97452
"39789",0.9332338,2.7063805,2.7601235
"46663",1.4683587,1.2239052,2.689143
"31564",0.5941934,2.3389211,2.7814958
"48115",1.094953,0.347644,2.9516293
"35121",0.8196129,2.6572418,2.6730951
"34121",1.1040625,2.932421,3.0853139
"35066",1.1577114,2.588112,2.7035253
"49394",1.3416986,1.1933322,2.7819305
"47413",1.05973479,0.061814,3.0774869
"22953",1.01343479,1.845808,2.7527875
"32140",0.4524865,2.1672612,2.6535903
"3378",1.1431853,2.7143638,3.771965
"13074",1.3731772,1.5725832,0.647987000000001
"2701",1.3153746,2.1455313,3.979709
